Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Trade Date,Num Trade Dates,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY,Avg SGOV Weight,run_name,start_date,end_date,top_k,allocation_mode,execution_mode,benchmark_hurdle,hold_band,transaction_cost_bps
Monthly,0.1927743194691287,0.2358998017728815,0.3227844659824441,0.816053793558992,-0.2310245646412335,1.0211026785797384,0.171965068206466,43,1.553191489361702,3.382978723404255,0.5531914893617021,0.0978723404255319,start_2025-06-01__topk_6__alloc_score_proportional__exec_pure_topk,2025-06-01,2026-04-03,6,score_proportional,pure_topk,spy,,0
Monthly,0.1901603418808164,0.2326463263075953,0.3341346807336317,0.7917513046294443,-0.2339744977310798,0.9943234350907292,0.144792517787998,43,1.553191489361702,3.382978723404255,0.5531914893617021,0.0851063829787234,start_2025-06-01__topk_6__alloc_momentum_proportional__exec_pure_topk,2025-06-01,2026-04-03,6,momentum_proportional,pure_topk,spy,,0
Monthly,0.1843764475269178,0.2254525478825451,0.3176020571434152,0.7971541138689288,-0.2241272198652412,1.0059132845091316,0.1304106223818804,43,1.553191489361702,3.382978723404255,0.5531914893617021,0.0851063829787233,start_2025-06-01__topk_6__alloc_equal__exec_pure_topk,2025-06-01,2026-04-03,6,equal,pure_topk,spy,,0
Monthly,0.1810206374267078,0.2212819657384972,0.1628252911851091,1.3027726875457182,-0.0972265187914807,2.275942494794812,0.275021299754923,43,1.553191489361702,3.382978723404255,0.5531914893617021,0.5266659692387816,start_2025-06-01__topk_6__alloc_momentum_proportional__exec_overlay,2025-06-01,2026-04-03,6,momentum_proportional,overlay,spy,,0
Monthly,0.1750417576352649,0.2138573654661495,0.1606292053366388,1.2806837233393336,-0.1053762215489788,2.029465113880067,0.2827325977393113,43,1.553191489361702,3.382978723404255,0.5531914893617021,0.5184216044518599,start_2025-06-01__topk_6__alloc_score_proportional__exec_overlay,2025-06-01,2026-04-03,6,score_proportional,overlay,spy,,0
Monthly,0.1642369402459282,0.2004592118527011,0.1507006244922448,1.28141490688127,-0.0984558680381229,2.0360311258957333,0.2778985001815858,43,1.553191489361702,3.382978723404255,0.5531914893617021,0.5407801418439716,start_2025-06-01__topk_6__alloc_equal__exec_overlay,2025-06-01,2026-04-03,6,equal,overlay,spy,,0
Monthly,0.1512603866924873,0.1844011671647711,0.3415568886252274,0.6660542770534754,-0.2419040528966944,0.7622905236875878,0.1285889239189338,43,1.319148936170213,2.8085106382978724,0.4468085106382978,0.0851063829787234,start_2025-06-01__topk_5__alloc_equal__exec_pure_topk,2025-06-01,2026-04-03,5,equal,pure_topk,spy,,0
Monthly,0.1512603866924871,0.1844011671647709,0.3415568886252275,0.6660542770534753,-0.2419040528966946,0.7622905236875865,0.1285889239189338,43,1.319148936170213,2.8085106382978724,0.4468085106382978,0.0851063829787234,start_2025-06-01__topk_5__alloc_momentum_proportional__exec_pure_topk,2025-06-01,2026-04-03,5,momentum_proportional,pure_topk,spy,,0
Monthly,0.1435462708273289,0.1748724533470051,0.341020507257861,0.6430015349714711,-0.2419040528966947,0.7229000558402574,0.1369711094842069,43,1.319148936170213,2.8085106382978724,0.4468085106382978,0.1191489361702127,start_2025-06-01__topk_5__alloc_score_proportional__exec_pure_topk,2025-06-01,2026-04-03,5,score_proportional,pure_topk,spy,,0
Monthly,0.1367853157388623,0.1665317529997156,0.2928148795600383,0.6714620124925942,-0.2079293150839288,0.8009056006965471,0.1081850427724571,43,1.0425531914893618,2.25531914893617,0.3617021276595745,0.2680851063829786,start_2025-06-01__topk_4__alloc_equal__exec_pure_topk,2025-06-01,2026-04-03,4,equal,pure_topk,spy,,0
Quarterly,0.2570602326845592,0.3163590946787444,0.3497452960194879,0.9584906095296868,-0.2339744977310796,1.3521093014263217,0.1063916709888073,42,1.4130434782608696,3.4782608695652173,0.5869565217391305,0.0869565217391304,start_2025-06-01__topk_6__alloc_momentum_proportional__exec_pure_topk,2025-06-01,2026-04-03,6,momentum_proportional,pure_topk,spy,,0
Quarterly,0.24850251236079,0.3055995341533921,0.3405477124863343,0.9509705141623656,-0.2310245646412333,1.3228010390495446,0.1381013065064142,42,1.4130434782608696,3.4782608695652173,0.5869565217391305,0.117391304347826,start_2025-06-01__topk_6__alloc_score_proportional__exec_pure_topk,2025-06-01,2026-04-03,6,score_proportional,pure_topk,spy,,0
