Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Trade Date,Num Trade Dates,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY,Avg SGOV Weight
Weekly,0.055024777106483125,0.24281825820640934,0.20424127149531454,1.15146020567996,-0.07860086957407908,3.089256639553587,0.5640865562093454,12,2.9166666666666665,3.0833333333333335,0.0,0.31944444444444436
Monthly,-0.006539023427123203,-0.026273369558420523,0.044857995915185224,-0.562620588342098,-0.021210046963639928,-1.2387228375052906,0.06410256410256411,1,0.3076923076923077,0.15384615384615385,0.0,0.9358974358974359
Quarterly,-0.006539023427123203,-0.026273369558420523,0.044857995915185224,-0.562620588342098,-0.021210046963639928,-1.2387228375052906,0.06410256410256411,1,0.3076923076923077,0.15384615384615385,0.0,0.9358974358974359
DIA,-0.03477372858806227,-0.13379656418149677,0.14508862459759603,-0.9041479627485455,-0.09757545459082473,-1.3712112820028615,0.0,0,,,,
SPY,-0.03739756393060667,-0.14331289187731266,0.1415773022547711,-1.0069040070560071,-0.08884972579330996,-1.612980688434534,0.0,0,,,,
QQQ,-0.04469341677242078,-0.1693601856957796,0.18269132452706358,-0.9108376480511111,-0.11723572714706221,-1.4446124045729822,0.0,0,,,,
