Date,Weekly,Monthly,Quarterly,DIA,QQQ,SPY
2025-04-17,0.9421929236378767,0.9349476075811867,0.9497729356734933,0.9274072292673201,0.8716897528533782,0.9031089066294308
2025-04-21,0.9522105332956176,0.9409463003632096,0.9558667488535977,0.9043264403396858,0.8501183015213223,0.881612421222448
2025-04-22,0.9485255006023844,0.9347986672703505,0.9496216336378327,0.9286158412442949,0.8724356341793978,0.904550160901932
2025-04-23,0.9418212254989188,0.9263481900426116,0.9410371584230174,0.9381894516892159,0.892220870676806,0.9185663798844624
2025-04-24,0.9486061590289839,0.9319730866148779,0.9467512481612889,0.9502039239073639,0.9173253268662999,0.9379014075318033
2025-04-25,0.9454869685042201,0.927009934430632,0.9417093959954538,0.9502984751844741,0.9275517017283657,0.9446779927844083
2025-04-28,0.9487031922629638,0.9299155942705214,0.9446611304603829,0.9532608371693403,0.927257249545757,0.9450382004402561
2025-04-29,0.9485507974275016,0.9264248772695156,0.9411150616681135,0.9602274604217016,0.9333813373052677,0.950991317735138
2025-04-30,0.9418156375701847,0.9231397315946727,0.9377778239165964,0.9629055078908473,0.9332634842035613,0.9513687890922217
2025-05-01,0.9430123929612891,0.920061303025784,0.9307680879885755,0.9654646321698388,0.9454526127906249,0.9581110587669099
2025-05-02,0.9530780203601049,0.9321391402954707,0.9328005552616284,0.9787824878702016,0.959486822572637,0.9723333830414956
2025-05-05,0.9572994537896282,0.9336741768958371,0.9336458083625891,0.9769340397664465,0.9537946020269891,0.9667576311914199
2025-05-06,0.9591412307824085,0.9321004650640292,0.9347699701271966,0.967407851778834,0.944922695166813,0.9586771598902579
2025-05-07,0.9545346740973641,0.9300569619096833,0.9353163812146391,0.9740666695149505,0.948632419486258,0.9627089225586373
2025-05-08,0.9524696404009797,0.9249478026790976,0.9337737789465368,0.980772983117752,0.9584268669439083,0.9694168766554089
2025-05-09,0.9605678350271764,0.9346928129112555,0.935165167938683,0.9773131991967839,0.9577987785290428,0.9681816217626853
2025-05-12,0.9569719864589047,0.9298832034128105,0.923904499711978,1.005299496308903,0.9968197719704996,1.0001776148894022
2025-05-13,0.9653052324531731,0.931259525573908,0.9257109665095689,0.9988538594025446,1.0120120479817416,1.0067827281647013
2025-05-14,0.9664099413638002,0.9295270374866024,0.9223855135255765,0.9965788294111437,1.0180772091903991,1.0080694564242998
2025-05-15,0.9682181516341001,0.9377440082906161,0.9259597354292627,1.0035221818911106,1.0191959107983235,1.0129931063816808
2025-05-16,0.9673551757163079,0.9393387096219686,0.9253036574359663,1.0115662345643939,1.0236318341331354,1.0194093780661604
2025-05-19,0.9770301958848226,0.9410811803869185,0.9293732293446656,1.0150999417276367,1.0246134216625677,1.0205245284361755
2025-05-20,0.9830094080691226,0.9440462352310297,0.9345820735603297,1.0125624732147538,1.0211979689540742,1.017093394293616
2025-05-21,0.9781060189482385,0.9411183784780435,0.935805021095179,0.9930683930202951,1.0070066618301552,0.9999546695452212
2025-05-22,0.9774235291085224,0.9410739854090884,0.9346393365090228,0.9932344450302513,1.0088910474558568,1.0003490868667082
2025-05-23,0.9755699976054858,0.9454906272895683,0.939659208263336,0.9873294681828345,0.9995479689510647,0.9935210282472281
2025-05-27,0.9802412452026155,0.9490054721486839,0.9360839134457987,1.0051631750964856,1.023062551888018,1.0141769938198069
2025-05-28,0.9758899646362822,0.9477611431044664,0.9381541695626175,0.9994004656209942,1.0185283975716002,1.0083095595574392
2025-05-29,0.9806368976724797,0.9500882520620926,0.9383843930534908,1.001866727038538,1.0205306964895606,1.0122896370343883
2025-05-30,0.9788000663926895,0.9474434039889538,0.9395579827864065,1.0027916117748052,1.01892120111692,1.01115754069997
2025-06-02,1.0065946562963453,0.9539026325934914,0.9564990878351183,1.0048312178953267,1.026968677980123,1.0168532911604766
2025-06-03,1.004796961383253,0.9498273434993417,0.9528619260386256,1.0102856813983137,1.0349965327232258,1.0226519883547334
2025-06-04,1.0081256795642923,0.9532373742489891,0.9544184502456964,1.007748066066677,1.0378820678079077,1.0223773578191222
2025-06-05,1.0219922256516298,0.9538544742667794,0.9572672029465275,1.005447709840336,1.0300698156236978,1.0174364441605055
2025-06-06,1.0145385437718097,0.953233312366697,0.9502260501405521,1.0159061235018798,1.0401392135249616,1.0278844785133645
2025-06-09,1.0216964997118374,0.9545236288659195,0.9522705610044335,1.0158586276351949,1.0416702204172013,1.0288108932048377
2025-06-10,1.0183623977948824,0.9546953882827242,0.9495204179150051,1.0188229716732302,1.0485598718133842,1.0346439059770112
2025-06-11,1.018313153348277,0.9523643498298512,0.9525075057246768,1.0187993338539527,1.045026566003184,1.0316931899252852
2025-06-12,1.0191824393778233,0.957049904442989,0.9608284482152745,1.0209099268416835,1.0474800533023456,1.035793371924943
2025-06-13,1.0089997605192373,0.9497430569304435,0.9654857353224116,1.0026969136789416,1.034329380639817,1.0242131353253878
2025-06-16,1.0032685371319654,0.9490513466022558,0.9560695534057698,1.0109260313907305,1.0487167283930814,1.0339577003309546
2025-06-17,1.0018629184883376,0.9480374517577858,0.9553226947887845,1.0034083239479445,1.0384904739121206,1.0251224981401803
2025-06-18,0.9979668257730384,0.9481929185829352,0.9514526693940998,1.0027680473649043,1.0383136340690085,1.0249680780395554
2025-06-20,0.9899518130116081,0.9482571621097446,0.945961610584067,1.0030509671024688,1.034074172697409,1.022560797883788
2025-06-23,0.9995897302951221,0.9488994763896743,0.9469021184185203,1.0124687294407864,1.0447069541696494,1.0326611222295465
2025-06-24,1.0179783931439523,0.9534816750761862,0.9440148501259323,1.0245265866005278,1.0606826102210902,1.044069145465853
2025-06-25,1.0156090375716678,0.9525724361492095,0.9436569525780537,1.0223149823105424,1.0633941946091776,1.0446542048868772
2025-06-26,1.0199673473893625,0.9558044094775099,0.9459526903176765,1.0319943022578228,1.0733371923502864,1.0528273494308698
2025-06-27,1.0130772533825818,0.9555786301303932,0.9418684866116193,1.041673842433233,1.077011945958755,1.0580581449930606
2025-06-30,1.018116500298479,0.9594816460419872,0.9422876002013598,1.0479760374176401,1.0839876698449484,1.0631170449288354
2025-07-01,1.0115187572899746,0.9528414916541253,0.93576643831263,1.0580600632583281,1.0748503828389993,1.0627729359391707
2025-07-02,1.01544267900148,0.957278816032153,0.9401242452146535,1.0576317195456428,1.0823371245155338,1.0675907795313084
2025-07-03,1.0223079562563668,0.962237909556256,0.9449944710863808,1.0656703399250549,1.0929876020101958,1.0760048745066606
2025-07-07,1.0145356012197582,0.9560587938908048,0.9389260860414106,1.0559433772923363,1.0847541363399076,1.0679864678001258
2025-07-08,1.0190392700949484,0.962852091146772,0.945597646456543,1.0520904861594695,1.0853633851118547,1.067401514291379
2025-07-09,1.0267291169106878,0.9740054845271234,0.9565511694612062,1.0571799582418102,1.0930464683704968,1.0738023227833409
2025-07-10,1.0230292339723384,0.9658770548773632,0.9485684024122751,1.061888949525034,1.0914745319025878,1.0768307784467668
2025-07-11,1.0180354072541982,0.9605454068560542,0.943332298272251,1.05492063785701,1.0890183962191184,1.073045261823623
2025-07-14,1.0204057899475356,0.9623425798108116,0.9450972656352755,1.0573226660699953,1.0929679798900958,1.0750927579726526
2025-07-15,1.0156715622648822,0.955264326274374,0.9381458553962362,1.046787025744228,1.0939701525884675,1.070498707022916
2025-07-16,1.0275075290953863,0.9597202559701722,0.9425219342061231,1.0520430637021612,1.095090178388546,1.074077588792617
2025-07-17,1.0374169722637574,0.9638635757426974,0.946591005106463,1.0588446626758392,1.1039525149508818,1.0806506106478273
2025-07-18,1.03527221657239,0.9632571872461109,0.9459954831768926,1.0546121716563754,1.1028913555111042,1.0798591281979153
2025-07-21,1.0292939083616213,0.9627554729453996,0.9455027596669078,1.0550403685503071,1.1086095783754124,1.0819067302592225
2025-07-22,1.024177622701629,0.9618027031617855,0.944567063651617,1.0586568080810217,1.102871613009899,1.0820615740089576
2025-07-23,1.0332486183549656,0.9665741429631426,0.9492529985816629,1.071147707153553,1.107902098621859,1.0912672573464992
2025-07-24,1.0341529462067938,0.9647490990664113,0.9474606597278586,1.0637720468545624,1.1102602440859322,1.0916285241251222
2025-07-25,1.0364002496085414,0.9655775109207346,0.9482742263254156,1.068316454315363,1.112932704614924,1.0962399446883722
2025-07-28,1.0238465442924383,0.9509162898219445,0.9338757363676453,1.0666986584730056,1.1164106351168657,1.095964678679096
2025-07-29,1.023779267137487,0.9521991614376066,0.9351356187437964,1.062273247611736,1.1146814809259449,1.0930738030641693
2025-07-30,1.0204662908548803,0.9506298953292655,0.9335944741044945,1.0581809685016514,1.1161750492945577,1.0916973671055106
2025-07-31,1.0156990428862473,0.9415254155953783,0.9246531479260144,1.0500201949195132,1.1102602440859322,1.0876022688951739
2025-08-01,1.0066804220559895,0.9363111932757858,0.9208074348554773,1.0366729020591183,1.0883894049459661,1.0697758557288375
2025-08-04,1.0132067419647524,0.9424087868897967,0.923810847076423,1.0511622980012536,1.108471982772501,1.0860362499597533
2025-08-05,1.011499239862324,0.9413704130024413,0.9239539045223747,1.0495682133875506,1.100945996855766,1.0805300824760087
