Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Trade Date,Num Trade Dates,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY,Avg SGOV Weight
Weekly,0.0545006726714905,0.24031456798182327,0.1957273081397941,1.182626802614894,-0.08084616782670362,2.9724917635792623,0.3804071097271981,12,1.6666666666666667,1.3333333333333333,0.0,0.5333333333333333
Monthly,0.0021017201055577583,0.008556933043660786,0.02271444530764593,0.38096782530713147,-0.010350560733270231,0.8267120269296991,0.038461538461538464,1,0.15384615384615385,0.07692307692307693,0.0,0.9615384615384616
Quarterly,0.0021017201055577583,0.008556933043660786,0.02271444530764593,0.38096782530713147,-0.010350560733270231,0.8267120269296991,0.038461538461538464,1,0.15384615384615385,0.07692307692307693,0.0,0.9615384615384616
DIA,-0.03477372858806227,-0.13379656418149677,0.14508862459759603,-0.9041479627485455,-0.09757545459082473,-1.3712112820028615,0.0,0,,,,
SPY,-0.03739756393060667,-0.14331289187731266,0.1415773022547711,-1.0069040070560071,-0.08884972579330996,-1.612980688434534,0.0,0,,,,
QQQ,-0.04469341677242078,-0.1693601856957796,0.18269132452706358,-0.9108376480511111,-0.11723572714706221,-1.4446124045729822,0.0,0,,,,
