Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Trade Date,Num Trade Dates,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY,Avg SGOV Weight
Monthly,0.0020519398138281186,0.00835362209171886,0.023440862074143972,0.36139314683801815,-0.010641312749394616,0.7850180037415118,0.04615384615384615,1,0.15384615384615385,0.07692307692307693,0.0,0.9538461538461539
Quarterly,0.0020519398138281186,0.00835362209171886,0.023440862074143972,0.36139314683801815,-0.010641312749394616,0.7850180037415118,0.04615384615384615,1,0.15384615384615385,0.07692307692307693,0.0,0.9538461538461539
Weekly,-0.014044252643236277,-0.05578395786383983,0.32130446142244923,-0.009981770204664613,-0.17970734785066755,-0.3104155647001977,0.3906769762070181,12,1.6666666666666667,1.3333333333333333,0.0,0.39999999999999997
DIA,-0.03477372858806227,-0.13379656418149677,0.14508862459759603,-0.9041479627485455,-0.09757545459082473,-1.3712112820028615,0.0,0,,,,
SPY,-0.03739756393060667,-0.14331289187731266,0.1415773022547711,-1.0069040070560071,-0.08884972579330996,-1.612980688434534,0.0,0,,,,
QQQ,-0.04469341677242078,-0.1693601856957796,0.18269132452706358,-0.9108376480511111,-0.11723572714706221,-1.4446124045729822,0.0,0,,,,
