Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Trade Date,Num Trade Dates,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY,Avg SGOV Weight,run_name,start_date,end_date,top_k,allocation_mode,execution_mode,benchmark_hurdle,hold_band,transaction_cost_bps
Weekly,0.410662801286592,0.5119208035451484,0.2015525216268461,2.1413110851643866,-0.0859916976871979,5.953142190625233,0.6534807855162914,42,3.857142857142857,2.119047619047619,0.0238095238095238,0.2165460717694283,start_2025-06-01__topk_6__alloc_momentum_proportional__exec_overlay,2025-06-01,2026-04-03,6,momentum_proportional,overlay,spy,,0
Weekly,0.3961302752870677,0.4932264098998935,0.1924190441396921,2.1691974062265067,-0.0815042274635557,6.051543892253163,0.6777006620406751,42,3.857142857142857,2.119047619047619,0.0238095238095238,0.2010731423328083,start_2025-06-01__topk_6__alloc_score_proportional__exec_overlay,2025-06-01,2026-04-03,6,score_proportional,overlay,spy,,0
Weekly,0.3911186699217146,0.4867886319157384,0.1958403375149996,2.112572131832435,-0.0916997071338022,5.308508032696855,0.6798856093317835,42,3.142857142857143,1.8571428571428568,0.0,0.2047619047619047,start_2025-06-01__topk_5__alloc_equal__exec_overlay,2025-06-01,2026-04-03,5,equal,overlay,spy,,0
Weekly,0.3911186699217146,0.4867886319157384,0.1958403375149996,2.112572131832435,-0.0916997071338022,5.308508032696855,0.6798856093317835,42,3.142857142857143,1.8571428571428568,0.0,0.2047619047619047,start_2025-06-01__topk_5__alloc_score_proportional__exec_overlay,2025-06-01,2026-04-03,5,score_proportional,overlay,spy,,0
Weekly,0.3860719870528863,0.4803105146270985,0.1884018408262984,2.1654754677615053,-0.0786008439759097,6.110755181894845,0.6774713211621288,42,3.857142857142857,2.119047619047619,0.0238095238095238,0.2063492063492062,start_2025-06-01__topk_6__alloc_equal__exec_overlay,2025-06-01,2026-04-03,6,equal,overlay,spy,,0
Weekly,0.3779615788535468,0.4699096387456349,0.1968590276817147,2.044914599831525,-0.0970608587616487,4.8413917282515175,0.6799902706114141,42,3.142857142857143,1.8571428571428568,0.0,0.2047619047619047,start_2025-06-01__topk_5__alloc_momentum_proportional__exec_overlay,2025-06-01,2026-04-03,5,momentum_proportional,overlay,spy,,0
Weekly,0.0963605041069939,0.4525936505800616,0.2119092448432086,1.843265594918169,-0.0823079440374946,5.498784544707941,0.5858097909051394,12,2.333333333333333,2.6666666666666665,0.0,0.3166666666666666,start_2026-01-01__topk_5__alloc_equal__exec_overlay,2026-01-01,2026-04-03,5,equal,overlay,spy,,0
Weekly,0.0963605041069939,0.4525936505800616,0.2119092448432086,1.843265594918169,-0.0823079440374946,5.498784544707941,0.5858097909051393,12,2.333333333333333,2.6666666666666665,0.0,0.3166666666666667,start_2026-01-01__topk_5__alloc_score_proportional__exec_overlay,2026-01-01,2026-04-03,5,score_proportional,overlay,spy,,0
Weekly,0.3496981569559929,0.4337610246022716,0.1791140835453041,2.090512298149198,-0.0871037807350306,4.979818567482975,0.5497567243973212,42,2.642857142857143,1.3571428571428572,0.0,0.3404761904761905,start_2025-06-01__topk_4__alloc_equal__exec_overlay,2025-06-01,2026-04-03,4,equal,overlay,spy,,0
Weekly,0.3496981569559929,0.4337610246022716,0.1791140835453041,2.090512298149198,-0.0871037807350306,4.979818567482975,0.5497567243973212,42,2.642857142857143,1.3571428571428572,0.0,0.3404761904761905,start_2025-06-01__topk_4__alloc_score_proportional__exec_overlay,2025-06-01,2026-04-03,4,score_proportional,overlay,spy,,0
Weekly,0.3496981569559929,0.4337610246022716,0.1791140835453041,2.090512298149198,-0.0871037807350306,4.979818567482975,0.5497567243973212,42,2.642857142857143,1.3571428571428572,0.0,0.3404761904761905,start_2025-06-01__topk_4__alloc_momentum_proportional__exec_overlay,2025-06-01,2026-04-03,4,momentum_proportional,overlay,spy,,0
