Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Trade Date,Num Trade Dates,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY,Avg SGOV Weight
Monthly,-0.0066346863738415696,-0.026653833721258402,0.04467402212316141,-0.5737417533138223,-0.021160614143035494,-1.2595964153540822,0.07692307692307693,1,0.3076923076923077,0.15384615384615385,0.0,0.9230769230769231
Quarterly,-0.0066346863738415696,-0.026653833721258402,0.04467402212316141,-0.5737417533138223,-0.021160614143035494,-1.2595964153540822,0.07692307692307693,1,0.3076923076923077,0.15384615384615385,0.0,0.9230769230769231
DIA,-0.03477372858806227,-0.13379656418149677,0.14508862459759603,-0.9041479627485455,-0.09757545459082473,-1.3712112820028615,0.0,0,,,,
SPY,-0.03739756393060667,-0.14331289187731266,0.1415773022547711,-1.0069040070560071,-0.08884972579330996,-1.612980688434534,0.0,0,,,,
QQQ,-0.04469341677242078,-0.1693601856957796,0.18269132452706358,-0.9108376480511111,-0.11723572714706221,-1.4446124045729822,0.0,0,,,,
Weekly,-0.07501570536178692,-0.2712779012908023,0.4074283319428236,-0.5515669158288196,-0.2391951862574686,-1.1341277620812988,0.570028696136436,12,2.9166666666666665,3.0833333333333335,0.0,9.25185853854297e-18
