Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Rebalance,Num Rebalances,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY Count,Avg SGOV Weight
Weekly,0.36707705303007665,0.1904817283404845,0.19737220244668563,0.9858159209525112,-0.1812614203416717,1.050867459724374,0.724279923097862,92,8.369565217391305,1.5326086956521738,0.021739130434782608,0.010869565217391314
QQQ,0.2970039206725936,0.15605861953527533,0.21540439004728176,0.7815335551423336,-0.22768306876309563,0.6854203976741653,0.0,0,,,,
Monthly,0.2799882357370147,0.1475765211173945,0.20447443110974184,0.7773278307270196,-0.20260834163620345,0.7283832438763939,0.9106151376669273,13,7.769230769230769,2.230769230769231,0.0,-1.8963002529351246e-33
SPY,0.2587234432698735,0.13690585568933278,0.16954815992967615,0.842458889877432,-0.18755241874299244,0.7299604910824324,0.0,0,,,,
DIA,0.21575587814709052,0.11509839366647046,0.14995304847146662,0.8026643363906534,-0.15954331762754537,0.7214240958381485,0.0,0,,,,
Quarterly,0.1959221799249895,0.10491726145527935,0.18781985670282247,0.626698350941947,-0.16423074638536184,0.6388405567438303,0.9677637467778198,6,8.666666666666666,1.3333333333333333,0.0,1.850371707708594e-17
