date,turnover
2020-01-03,1.0
2020-01-10,0.8
2020-01-17,0.6
2020-01-24,0.20000000000000007
2020-01-31,0.8
2020-02-07,1.0
2020-02-14,0.75
2020-02-21,0.5
2020-02-28,0.5
2020-03-06,0.5
2020-03-13,0.5
2020-03-20,0.0
2020-03-27,0.0
2020-04-03,0.0
2020-04-17,0.0
2020-04-24,0.0
2020-05-01,0.5
2020-05-08,0.5
2020-05-15,0.5
2020-05-22,0.5
2020-05-29,0.9999999999999999
2020-06-05,1.0
2020-06-12,1.0
2020-06-19,0.9999999999999999
2020-06-26,0.75
2020-07-10,1.0
2020-07-17,0.6666666666666666
2020-07-24,0.6666666666666666
2020-07-31,0.75
2020-08-07,1.0
2020-08-14,0.5
2020-08-21,0.75
2020-08-28,0.6000000000000001
2020-09-04,1.0
2020-09-11,0.5
2020-09-18,0.5
2020-09-25,0.5
2020-10-02,0.5
2020-10-09,0.5
2020-10-16,1.0
2020-10-23,0.8
2020-10-30,0.5
2020-11-06,0.0
2020-11-13,0.5
2020-11-20,1.0
2020-11-27,0.5
2020-12-04,0.5
2020-12-11,0.6666666666666666
2020-12-18,0.9999999999999999
2021-01-08,0.5
2021-01-15,0.5
2021-01-22,0.6666666666666666
2021-01-29,0.5
2021-02-05,0.5
2021-02-12,1.0
2021-02-19,0.9999999999999999
2021-02-26,0.6666666666666666
2021-03-05,0.6666666666666666
2021-03-12,0.5
2021-03-19,1.0
2021-03-26,0.6
2021-04-09,1.0
2021-04-16,0.2
2021-04-23,0.8
2021-04-30,0.6
2021-05-07,0.8
2021-05-14,0.7999999999999999
2021-05-21,0.8000000000000002
2021-05-28,0.8
2021-06-04,1.0
2021-06-11,0.6000000000000001
2021-06-18,1.0
2021-06-25,1.0
2021-07-02,1.0
2021-07-09,0.0
2021-07-16,1.0
2021-07-23,0.75
2021-07-30,0.25
2021-08-06,0.4999999999999999
2021-08-13,0.7999999999999999
2021-08-20,1.0
2021-08-27,1.0
2021-09-03,0.6
2021-09-10,1.0
2021-09-17,1.0
2021-09-24,0.5
2021-10-01,1.0
2021-10-08,0.9999999999999999
2021-10-15,0.3999999999999999
2021-10-22,0.7999999999999999
2021-10-29,0.9999999999999999
2021-11-05,1.0
2021-11-12,1.0
2021-11-19,1.0
2021-11-26,1.0
2021-12-03,0.0
2021-12-10,1.0
2021-12-17,1.0
2021-12-31,0.75
2022-01-07,1.0
2022-01-14,0.49999999999999994
2022-01-21,1.0
2022-01-28,0.5
2022-02-04,0.75
2022-02-11,0.2
2022-02-18,1.0
2022-02-25,1.0
2022-03-04,0.0
2022-03-11,1.0
2022-03-18,1.0
2022-03-25,0.75
2022-04-01,1.0
2022-04-08,0.8
2022-04-22,1.0
2022-04-29,1.0
2022-05-06,0.9999999999999999
2022-05-13,0.9999999999999999
2022-05-20,1.0
2022-05-27,0.3333333333333333
2022-06-03,0.33333333333333337
2022-06-10,1.0
2022-06-17,1.0
2022-06-24,0.0
2022-07-01,0.0
2022-07-08,0.0
2022-07-15,0.0
2022-07-22,0.0
2022-07-29,0.0
2022-08-05,1.0
2022-08-12,0.0
2022-08-19,0.5
2022-08-26,0.5
2022-09-02,1.0
2022-09-09,1.0
2022-09-16,0.0
2022-09-23,0.0
2022-09-30,0.0
2022-10-07,0.0
2022-10-14,1.0
2022-10-21,0.5
2022-10-28,0.6000000000000001
2022-11-04,0.20000000000000007
2022-11-11,0.8
2022-11-18,1.0
2022-11-25,1.0
2022-12-02,1.0
2022-12-09,1.0
2022-12-16,0.0
2022-12-23,1.0
2022-12-30,1.0
2023-01-06,1.0
2023-01-13,0.6000000000000001
2023-01-20,0.75
2023-01-27,1.0
2023-02-03,1.0
2023-02-10,0.75
2023-02-17,1.0
2023-02-24,0.0
2023-03-03,1.0
2023-03-10,1.0
2023-03-17,0.3333333333333333
2023-03-24,0.6666666666666666
2023-03-31,0.8
2023-04-14,0.8
2023-04-21,0.8
2023-04-28,0.9999999999999999
2023-05-05,0.9999999999999999
2023-05-12,0.8
2023-05-19,1.0
2023-05-26,0.49999999999999994
2023-06-02,0.3999999999999999
2023-06-09,1.0
2023-06-16,1.0
2023-06-23,0.75
2023-06-30,0.4
2023-07-07,0.7999999999999998
2023-07-14,1.0
2023-07-21,0.6000000000000001
2023-07-28,1.0
2023-08-04,1.0
2023-08-11,0.0
2023-08-18,0.0
2023-08-25,0.9999999999999999
2023-09-01,0.3333333333333333
2023-09-08,0.6
2023-09-15,1.0
2023-09-22,1.0
2023-09-29,0.75
2023-10-06,1.0
2023-10-13,1.0
2023-10-20,0.5
2023-10-27,1.0
2023-11-03,0.9999999999999999
2023-11-10,0.6666666666666666
2023-11-17,0.75
2023-11-24,1.0
2023-12-01,0.3999999999999999
2023-12-08,1.0
2023-12-15,1.0
2023-12-22,0.6
2023-12-29,0.25
2024-01-05,0.9999999999999999
2024-01-12,0.49999999999999994
2024-01-19,0.5
2024-01-26,0.4
2024-02-02,0.6
2024-02-09,0.8000000000000002
2024-02-16,0.8
2024-02-23,0.6000000000000001
2024-03-01,0.7999999999999999
2024-03-08,0.25
2024-03-15,0.75
2024-03-22,1.0
2024-04-05,0.8
2024-04-12,0.75
2024-04-19,0.5
2024-04-26,1.0
2024-05-03,1.0
2024-05-10,1.0
2024-05-17,0.75
2024-05-24,1.0
2024-05-31,0.6666666666666666
2024-06-07,1.0
2024-06-14,0.6
2024-06-21,0.39999999999999997
2024-06-28,0.75
2024-07-05,1.0
2024-07-12,1.0
2024-07-19,0.5
2024-07-26,1.0
2024-08-02,0.8
2024-08-09,0.5
2024-08-16,0.5
2024-08-23,0.6
2024-08-30,0.2
2024-09-06,0.8
2024-09-13,0.8
2024-09-20,0.6
2024-09-27,0.7999999999999999
2024-10-04,1.0
2024-10-11,0.4999999999999999
2024-10-18,0.75
2024-10-25,1.0
2024-11-01,0.9999999999999999
2024-11-08,1.0
2024-11-15,1.0
2024-11-22,0.9999999999999999
2024-11-29,0.49999999999999994
2024-12-06,0.75
2024-12-13,1.0
2024-12-20,1.0
2024-12-27,0.6666666666666666
2025-01-03,1.0
2025-01-10,1.0
2025-01-17,0.5
2025-01-24,1.0
2025-01-31,0.75
2025-02-07,0.6000000000000001
2025-02-14,0.4
2025-02-21,1.0
2025-02-28,1.0
2025-03-07,1.0
2025-03-14,0.75
2025-03-21,0.33333333333333337
2025-03-28,0.7999999999999999
2025-04-04,1.0
2025-04-11,1.0
2025-04-25,0.9999999999999999
2025-05-02,0.5
2025-05-09,0.6
2025-05-16,0.6000000000000001
2025-05-23,1.0
2025-05-30,0.8
2025-06-06,1.0
2025-06-13,0.7999999999999999
2025-06-20,0.9999999999999999
2025-06-27,1.0
2025-07-11,0.9999999999999999
2025-07-18,1.0
2025-07-25,1.0
2025-08-01,0.8
2025-08-08,0.75
2025-08-15,0.5
2025-08-22,0.25
2025-08-29,0.4999999999999999
2025-09-05,0.6666666666666667
2025-09-12,1.0
2025-09-19,0.5
2025-09-26,0.7999999999999999
2025-10-03,0.7999999999999999
2025-10-10,0.9999999999999999
2025-10-17,0.9999999999999999
2025-10-24,0.6000000000000001
2025-10-31,0.8
2025-11-07,1.0
2025-11-14,1.0
2025-11-21,1.0
2025-11-28,0.4999999999999999
2025-12-05,0.6000000000000001
2025-12-12,0.6
2025-12-19,0.75
2025-12-26,0.75
2026-01-02,1.0
2026-01-09,0.6666666666666666
2026-01-16,0.75
2026-01-23,1.0
2026-01-30,1.0
2026-02-06,0.5
2026-02-13,0.75
2026-02-20,0.75
2026-02-27,0.75
2026-03-06,1.0
2026-03-13,0.5
2026-03-20,0.0
