Date,Weekly,Monthly,Quarterly,SPY,QQQ,DIA
2026-01-02,1.0,1.0,1.0,1.0,1.0,1.0
2026-01-05,1.000099502624439,1.000099502624439,1.000099502624439,1.0066601108169109,1.0079429722663942,1.0126955724071145
2026-01-06,1.0001991580946912,1.0001991580946912,1.0001991580946912,1.0126469471208803,1.0167993017272257,1.0227032773995086
2026-01-07,1.0002987371420367,1.0002987371420367,1.0002987371420367,1.0093827807720446,1.0177779627167096,1.0130885011062616
2026-01-08,1.0003983161893824,1.0003983161893824,1.0003983161893824,1.00928030653288,1.0119878256205503,1.0184024240862954
2026-01-09,1.0005975507069804,1.0005975507069804,1.0005975507069804,1.0159550692898283,1.0220675062053537,1.0235510098495098
2026-01-12,1.0007967088016718,1.0007967088016718,1.0007967088016718,1.0175505226141526,1.0229155596047448,1.0253705408644267
2026-01-13,1.0008962878490175,1.0008962878490175,1.0008962878490175,1.0155159577941932,1.0213987395969362,1.0171824932915499
2026-01-14,1.0009959433192697,1.0009959433192697,1.0009959433192697,1.0105244706606962,1.0104873315615033,1.016438096602061
2026-01-15,1.0010954459437087,1.0010954459437087,1.0010954459437087,1.0132763551548072,1.0141245339389595,1.0224344780175763
2026-01-16,1.001493838555998,1.001493838555998,1.001493838555998,1.012427346702514,1.0132763809911003,1.0206121661014589
2026-01-20,1.001493838555998,1.001493838555998,1.001493838555998,0.9918176062178546,0.9917471333525394,1.0029476288677515
2026-01-21,1.001493838555998,1.001493838555998,1.001493838555998,1.0032642556899336,1.0051540223852649,1.0151927584827123
2026-01-22,1.001693073073596,1.001693073073596,1.001693073073596,1.0085044684396764,1.0124608799407646,1.0211706216243255
2026-01-23,1.001991810215633,1.001991810215633,1.001991810215633,1.0088704095762222,1.0156575803470618,1.0154616842692443
2026-01-26,1.0020914656858853,1.0020914656858853,1.0020914656858853,1.013993585487861,1.0201266097236157,1.0219359382751168
2026-01-27,1.0020914656858853,1.0020914656858853,1.0020914656858853,1.0180335899299005,1.0293743637608535,1.0136621251811295
2026-01-28,1.00229054735767,1.00229054735767,1.00229054735767,1.017931115690736,1.0327831024041152,1.0138069848527467
2026-01-29,1.0023901264050157,1.0023901264050157,1.0023901264050157,1.0159111134697163,1.0266016402800175,1.0139723852718663
2026-01-30,1.002589284499707,1.002589284499707,1.002589284499707,1.0128811101381867,1.0142712683808777,1.0115316388501752
2026-02-02,1.0026793106837233,1.0026793106837233,1.0026793106837233,1.0179164637506986,1.0212356792062558,1.0218738736165092
2026-02-03,1.0028790801616678,1.0028790801616678,1.0028790801616678,1.0093096104129553,1.0055454469616707,1.0183161529467848
2026-02-04,1.00297896490064,1.00297896490064,1.00297896490064,1.0044205975186227,0.9879795224819259,1.023363172613887
2026-02-05,1.00297896490064,1.00297896490064,1.00297896490064,0.9918761246369068,0.9737572319473327,1.0112834434180458
2026-02-06,1.0032786955404631,1.0032786955404631,1.0032786955404631,1.0109050637372796,0.9943404704939329,1.0363530149298366
2026-02-09,1.0034784650184074,1.0034784650184074,1.0034784650184074,1.0157794246915746,1.0019572224304991,1.0367460068312835
2026-02-10,1.0035783497573798,1.0035783497573798,1.0035783497573798,1.0131007105565533,0.9973088067145037,1.0381525108156513
2026-02-11,1.0035783497573798,1.0035783497573798,1.0035783497573798,1.012866547539247,0.9999836740512379,1.0369735351113105
2026-02-12,1.0037781956582308,1.0037781956582308,1.0037781956582308,0.9972189009669121,0.9796451256391255,1.023197708992467
2026-02-13,1.0041777346141196,1.0041777346141196,1.0041777346141196,0.9979214793599284,0.9817327565627819,1.0244594165075176
2026-02-17,1.0013336314109837,1.0041777346141196,1.0041777346141196,0.9995315846242899,0.9807215432242429,1.0256384554141582
2026-02-18,1.0028100893846708,1.0043775805149708,1.0043775805149708,1.0045669382368017,0.9880447267285042,1.028017137177242
2026-02-19,1.0067698023076652,1.004477465253943,1.004477465253943,1.0019175279818553,0.9842607899091295,1.0225978559630955
2026-02-20,1.017430060925195,1.0046772347318875,1.0046772347318875,1.0091631803536782,0.9929703849280427,1.027388084685267
2026-02-23,1.0083879277765833,1.0048770042098318,1.0048770042098318,0.9988583101113485,0.9809009295636844,1.0106750580781731
2026-02-24,1.0246482943009874,1.0048770042098318,1.0048770042098318,1.0061185250821112,0.9914372389714724,1.018503484564007
2026-02-25,1.0383044701802542,1.004976888948804,1.004976888948804,1.014608430922848,1.005806363496452,1.0247786513248556
2026-02-26,1.034944256956123,1.005176734849655,1.005176734849655,1.0089728838153866,0.9936717038855153,1.0248614463378656
2026-02-27,1.034558260496352,1.0053765043275993,1.0053765043275993,1.0041278267411664,0.9904912298795118,1.014092216832681
2026-03-02,1.0161949190796153,1.0054967175597365,1.0054967175597365,1.004698716356041,0.9917961111988237,1.0130981078558623
2026-03-03,0.9520361195008323,1.0056970984209341,1.0056970984209341,0.9958429587198564,0.9811782715956956,1.005518192813658
2026-03-04,0.9566429034043323,1.0056970984209341,1.0056970984209341,1.002869010673313,0.9961345329852848,1.0101158441277065
2026-03-05,0.9238088674472564,1.005797288851533,1.005797288851533,0.9972774193859639,0.9931334453187227,0.9937548543316546
2026-03-06,0.9184681767571039,1.0061978977281147,1.0061978977281147,0.9842060127094858,0.9781935098778953,0.9842075148925156
2026-03-09,0.9208893187743883,1.0062980881587136,1.0062980881587136,0.9928276073283643,0.9912578526320311,0.9896956866136702
2026-03-10,0.9140678021400519,1.0062980881587136,1.0062980881587136,0.9912320646629423,0.9912741785807927,0.9893229194482258
2026-03-11,0.9220331849791731,1.006498469019911,1.006498469019911,0.9899879005351263,0.9911436705391679,0.9833376616375118
2026-03-12,0.9114259109585295,1.0065985830276032,1.0065985830276032,0.9749550100566806,0.9741323305749774,0.9681571644010007
2026-03-13,0.9090149364139718,1.0068990778964928,1.0068990778964928,0.9694365891284212,0.9683585194275798,0.9659411653581365
2026-03-16,0.9192462458847427,1.0068990778964928,1.0068990778964928,0.9793024372162135,0.9792210491651958,0.9739973729331975
2026-03-17,0.9285820037153413,1.0070994587576902,1.0070994587576902,0.9818785877709726,0.983999873374348,0.9752399933536458
2026-03-18,0.9232909987906767,1.007199649188289,1.007199649188289,0.9681777730605677,0.9702831895090244,0.9588790035575938
