date,turnover
2024-01-05,1.0
2024-01-12,0.7759614311883434
2024-01-19,0.5988061070030886
2024-01-26,0.7990914839298304
2024-02-02,0.900462811581873
2024-02-09,0.7044354201561525
2024-02-16,1.0
2024-02-23,0.7012945594275999
2024-03-01,0.8011443434828482
2024-03-08,0.5979211415408889
2024-03-15,0.8084478481590502
2024-03-22,1.0
2024-04-05,1.0
2024-04-12,0.6768614700740174
2024-04-19,0.5019675404386197
2024-04-26,0.8685534747096708
2024-05-03,0.6977187360869876
2024-05-10,0.8023141117720127
2024-05-17,0.5028789268345459
2024-05-24,0.9999999999999999
2024-05-31,0.7999999999999999
2024-06-07,0.655784487878998
2024-06-14,0.5925370075421981
2024-06-21,0.40009865089640057
2024-06-28,0.9015218814786259
2024-07-05,1.0
2024-07-12,1.0000000000000002
2024-07-19,1.0
2024-07-26,0.8955242489125856
2024-08-02,0.9090810000049382
2024-08-09,0.3737554078271453
2024-08-16,0.5996852330255382
2024-08-23,0.5006540073631073
2024-08-30,0.3984833029016554
2024-09-06,0.9010929469321964
2024-09-13,0.8027335276239161
2024-09-20,0.692685045756334
2024-09-27,0.698877626653095
2024-10-04,0.9012585062308122
2024-10-11,0.698095067289051
2024-10-18,0.7020995634476609
2024-10-25,0.695961955883796
2024-11-01,0.8814491605709412
2024-11-08,1.0
2024-11-15,0.6957873946817424
2024-11-22,0.399498507925589
2024-11-29,0.7005547028615847
2024-12-06,0.5977234026499867
2024-12-13,0.7063614155614439
2024-12-20,1.0
2024-12-27,0.5
2025-01-03,0.25
2025-01-10,0.75
2025-01-17,0.6
2025-01-24,0.7636881041126069
2025-01-31,0.7594612025806272
2025-02-07,0.3464324677762814
2025-02-14,0.38114691803475187
2025-02-21,0.8100041701517317
2025-02-28,1.0
2025-03-07,0.8993766946085694
2025-03-14,0.6995137411427762
2025-03-21,0.39803418033468607
2025-03-28,0.5037360066045017
2025-04-04,1.0
2025-04-11,1.0
2025-04-25,0.8642930691434489
2025-05-02,0.6939568959953988
2025-05-09,0.5995564286243666
2025-05-16,0.7010573348359878
2025-05-23,0.8035073365131424
2025-05-30,0.49715517031466094
2025-06-06,0.7954189807142125
2025-06-13,0.8160687599041511
2025-06-20,0.9062840370738815
2025-06-27,0.9034203955240566
2025-07-11,0.9028739304048783
2025-07-18,0.7824901448013877
2025-07-25,1.0
2025-08-01,1.0
2025-08-08,0.9062001976204991
2025-08-15,0.5928182468021574
2025-08-22,0.3055021880697627
2025-08-29,0.6939064539002406
2025-09-05,0.4819548809567937
2025-09-12,0.6982216109972958
2025-09-19,0.6968687674049302
2025-09-26,0.7014747241333587
2025-10-03,0.7005283444930814
2025-10-10,0.7899400205475571
2025-10-17,0.8901387207743291
2025-10-24,0.7952950342472147
2025-10-31,0.8938269383351218
2025-11-07,0.7269891034272485
2025-11-14,0.9083953940722863
2025-11-21,0.9060533145584573
2025-11-28,0.7933081919596465
2025-12-05,0.4129734748392071
2025-12-12,0.9024453674993491
2025-12-19,0.9062629494560159
2025-12-26,0.29477517882736837
2026-01-02,0.9033603055465291
2026-01-09,0.7060759871717333
2026-01-16,0.20251777629042209
2026-01-23,0.4918419521710008
2026-01-30,0.9027242957340214
2026-02-06,0.6961328138982423
2026-02-13,0.8007766127350058
2026-02-20,0.7915868574893474
2026-02-27,0.6987453171800821
2026-03-06,1.0
2026-03-13,0.5
2026-03-20,0.6666666666666666
