ticker,last_close,ret_6m,realized_vol20,atr15,above_ema10,above_sma200,sma50_gt_sma200,macd,macd_signal,macd_hist,weekly_macd_hist,breakout_89d,exit_13d,raw_score,current_alloc_pct,target_alloc_pct,delta_pct_points,action,rationale
XLE,59.67499923706055,0.3713799024150084,0.15423149214899215,1.1740005493164063,True,True,True,1.6353108008767308,1.5560233621324295,0.07928743874430122,1.1055367258021604,True,False,14.87453949852063,0.0,12.863129862703815,12.863129862703815,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive MACD histogram, positive weekly momentum proxy, at 89-day breakout, 6m return 37.1%, 20d vol 15.4%."
XOP,177.50999450683594,0.3837428551649422,0.2492197632433056,4.95,True,True,True,7.613569817397831,6.7175237735130775,0.8960460438847537,4.263970983819936,True,False,14.747432593508492,0.0,12.753210989196498,12.753210989196498,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive MACD histogram, positive weekly momentum proxy, at 89-day breakout, 6m return 38.4%, 20d vol 24.9%."
IXC,55.88999938964844,0.3833746280898953,0.1485456303418132,0.9779993693033854,True,True,True,1.7557901007889924,1.621362477869003,0.13442762291998944,1.050107073066585,False,False,12.927017620775679,0.0,11.178961635083619,11.178961635083619,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive MACD histogram, positive weekly momentum proxy, 6m return 38.3%, 20d vol 14.9%."
AMLP,53.06999969482422,0.17866049026985364,0.09682121237721553,0.696667226155599,True,True,True,0.6548923663835566,0.7163474281942787,-0.06145506181072202,0.548348008190134,True,False,12.79866088792267,0.9561133326064267,11.067961941707912,10.111848609101484,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive weekly momentum proxy, at 89-day breakout, 6m return 17.9%, 20d vol 9.7%."
OIH,386.2149963378906,0.5437628433503436,0.26512408879862875,11.901997884114584,True,True,True,4.712575294677833,5.948440412056844,-1.235865117379011,4.325448064619312,False,False,11.782672174155755,0.0,10.189360303954686,10.189360303954686,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive weekly momentum proxy, 6m return 54.4%, 20d vol 26.5%."
MLPA,54.4900016784668,0.16858740692824536,0.10525555182072228,0.6606671651204427,True,True,True,0.6454840488905802,0.7166188413317707,-0.07113479244119048,0.5539608979450434,False,False,10.748015264840543,6.56583616237201,9.294614877436508,2.728778715064499,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, holding above 10EMA, positive weekly momentum proxy, 6m return 16.9%, 20d vol 10.5%."
EWY,126.29000091552734,0.6130733614836108,0.7046363641156623,8.870667012532552,False,True,True,0.4451565733162397,1.6331571003425447,-1.188000527026305,0.5789308244444378,False,False,10.237204080092475,0.0,8.852878136249362,8.852878136249362,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, positive weekly momentum proxy, 6m return 61.3%, 20d vol 70.5%."
EWM,28.975000381469727,0.15032501022637668,0.16877210929548592,0.45119349161783856,False,True,True,0.002311057408974193,-0.0368735071782905,0.03918456458726469,-0.05244522674549512,False,False,10.06954849019658,0.0,8.707893773859281,8.707893773859281,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, positive MACD histogram, 6m return 15.0%, 20d vol 16.9%."
EIS,119.9749984741211,0.271691585720345,0.2901439213973502,2.8573328653971353,False,True,True,0.036171397243748515,0.353555286828036,-0.3173838895842875,-0.3478321940048881,False,False,8.779101762775474,0.0,7.591947707941089,7.591947707941089,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, 6m return 27.2%, 20d vol 29.0%."
TAN,54.849998474121094,0.27055827659445875,0.3470730910699314,1.7113332112630208,False,True,True,-0.0250208876786715,-0.004211804236966418,-0.02080908344170508,-0.3043785972451083,False,False,8.672823324680662,0.0,7.500040771867213,7.500040771867213,INCREASE,"Selected because above 200SMA, 50SMA above 200SMA, 6m return 27.1%, 20d vol 34.7%."
SGOV,100.57990264892578,0.01880064266190007,0.0017992935795677783,0.01880035400390625,True,True,True,0.1002981319794003,0.10124705747912427,-0.0009489254997239738,-0.001215147136932937,True,False,11.406137090072058,2.066643280836759,2.220446049250313e-14,-2.066643280836737,DECREASE,SGOV used as residual cash sleeve when not enough ETFs qualify; uncapped.
ETHA,16.040000915527344,-0.5221924021047766,0.8366575546697878,0.8746665318806967,False,False,False,-0.18454629536746836,-0.476931732483721,0.29238543711625264,-0.703895646474821,False,False,0.0,5.393027526217691,0.0,-5.393027526217691,DECREASE,"Not selected because below 200SMA, composite score not strong enough."
IBIT,39.57500076293945,-0.39459998317028233,0.5691858314529016,1.6033330281575522,False,False,False,-0.4092916243449807,-0.7717035577642245,0.3624119334192438,-0.8251151451427097,False,False,0.0,5.202050671736883,0.0,-5.202050671736883,DECREASE,"Not selected because below 200SMA, composite score not strong enough."
IGV,82.80999755859375,-0.2933697769995537,0.303983338605919,2.3026662190755207,False,False,False,-0.8050547159560324,-1.0658687318476021,0.2608140158915697,-1.698502878230383,False,True,0.0,3.01353192678509,0.0,-3.01353192678509,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
INDA,46.63999938964844,-0.13533554732880304,0.14179498451705366,0.8356671651204427,False,False,False,-1.3545178845941166,-1.0778131760220189,-0.2767047085720977,-0.6761366378162108,False,True,0.0,5.555887224292994,0.0,-5.555887224292994,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
ITOT,141.5146026611328,-0.021333477972328763,0.13798783231899403,2.302215576171875,False,False,True,-1.6799031475829338,-1.1459632866511276,-0.5339398609318062,-1.4702880595269168,False,True,0.0,9.661399013083525,0.0,-9.661399013083525,DECREASE,"Not selected because below 200SMA, 13-day exit condition active, composite score not strong enough."
