ticker,sleeve,last_close,ret_6m,benchmark_hurdle,realized_vol20,atr15,above_ema10,above_sma200,sma50_gt_sma200,macd,macd_signal,macd_hist,weekly_macd_hist,breakout_89d,breakout_recent,exit_13d,raw_score,selected,entry_label,model_target_alloc_pct,current_alloc_pct,target_alloc_pct,delta_pct_points,action,rationale
OIH,offensive,409.1099853515625,0.5788889384862155,-0.0008168884016981348,0.28204952452042853,11.714947509765626,True,True,True,8.056477510973991,6.501491971201549,1.5549855397724421,4.455857261592882,True,True,False,19.32693610450118,True,BUY NOW,20.0,0.0,50.0,50.0,INCREASE,"Selected and executable now. Sleeve=offensive, momentum/trend confirmed."
XOP,offensive,181.6199951171875,0.35234988392829547,-0.0008168884016981348,0.2480146647768876,4.935665893554687,True,True,True,8.17586938652974,7.303492064621217,0.8723773219085231,4.255775787769846,True,True,False,18.256535731902172,True,BUY NOW,20.0,0.0,50.0,50.0,INCREASE,"Selected and executable now. Sleeve=offensive, momentum/trend confirmed."
IXC,offensive,56.72999954223633,0.367991648233823,-0.0008168884016981348,0.15895899674570033,0.9866661071777344,True,True,True,1.8351208627011033,1.709155667042554,0.12596519565854924,1.025752730450861,False,False,False,14.955581960835968,True,WAIT FOR PULLBACK,20.0,0.0,0.0,0.0,HOLD,"Selected, but wait for pullback. Sleeve=offensive, trend acceptable but entry extended or not fresh."
TAN,offensive,56.9900016784668,0.314648297219398,-0.0008168884016981348,0.3524318080248982,1.691333262125651,True,True,True,-0.012826986595179335,-0.03161352924881816,0.018786542653638827,-0.27077844497377024,False,True,False,14.927688592900415,True,WAIT FOR PULLBACK,20.0,0.0,0.0,0.0,HOLD,"Selected, but wait for pullback. Sleeve=offensive, trend acceptable but entry extended or not fresh."
XLE,offensive,60.56999969482422,0.35236488328041315,-0.0008168884016981348,0.16461220623658468,1.1753339131673177,True,True,True,1.7723168445542257,1.6350258668203381,0.13729097773388754,1.0752642781959878,False,False,False,14.870791589067641,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
ICLN,offensive,18.809999465942383,0.25207035158015545,-0.0008168884016981348,0.3264610195781695,0.5286669413248698,True,True,True,0.04073478979449163,0.022893184052430668,0.017841605742060965,-0.1010753367887135,False,True,False,14.65469086549226,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
SMH,offensive,399.0199890136719,0.24649370565383855,-0.0008168884016981348,0.33595642668090614,11.952669270833333,True,True,True,-1.9923019147349805,-2.0502636849628475,0.05796177022786697,-3.8720511522932206,False,True,False,14.61419444741818,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
GNR,offensive,72.87999725341797,0.25707131045020404,-0.0008168884016981348,0.21310973971097413,1.3159988403320313,True,True,True,0.03849446285580882,0.3276038689240084,-0.28910940606819957,0.28824264455339943,False,True,False,14.334532333213915,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
AVUV,offensive,110.7300033569336,0.11219149711936516,-0.0008168884016981348,0.18292721015042254,2.269486490885417,True,True,True,-0.7218276431928246,-0.9089024414471295,0.18707479825430495,-0.5438151908638877,False,True,False,14.161495009904023,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
QCLN,offensive,48.34000015258789,0.15291809613369733,-0.0008168884016981348,0.4127249571887478,1.6413332621256511,True,True,True,-0.4714509492911674,-0.5764729735734715,0.10502202428230412,-0.7567001311341301,False,True,False,14.04770162160886,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected or failed hurdle/filter rules.
