Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Rebalance,Num Rebalances,Avg BUY NOW Count,Avg WAIT Count,Avg DO NOT BUY Count,Avg SGOV Weight
Weekly,0.6294354164654292,0.4969885664665641,0.21060042322972083,2.0284292083612248,-0.12927748556058583,3.8443551428268665,0.7642473118279571,60,3.1774193548387095,1.6774193548387097,0.016129032258064516,0.06451612903225806
QQQ,0.1465651753318875,0.11965596431045422,0.22491029465042542,0.6151164911857699,-0.22768312561427706,0.5255372526515909,0.0,0,,,,
SPY,0.1254419719340938,0.10258285030816983,0.1843511689783254,0.6224265440841792,-0.18755238717833633,0.5469557164880432,0.0,0,,,,
Monthly,0.12246491094890799,0.10017214765822868,0.15102390243394206,0.7097316953369393,-0.1257362881980264,0.7966844663050983,0.10441176470588234,8,1.6470588235294117,2.338235294117647,0.5147058823529411,0.5588235294117647
Quarterly,0.10047647577668628,0.08233218773985507,0.14434364322643595,0.6220281510160726,-0.10115965662460935,0.813883622058736,0.06060606060606061,4,0.8484848484848485,2.409090909090909,0.5454545454545454,0.7424242424242424
DIA,0.09663360748799144,0.07920801459102944,0.1619716865651706,0.5525257567007557,-0.15832210587175233,0.5002966209607603,0.0,0,,,,
