Date,Weekly,QQQ,SPY,DIA
2026-01-02,1.0,1.0,1.0,1.0
2026-01-05,1.000099502624439,1.0079429722663942,1.0066601138160631,1.012695576123229
2026-01-06,1.0001991580946912,1.0167993017272257,1.0126469061073022,1.0227031780522264
2026-01-07,1.0002987371420367,1.0177779627167096,1.0093827838243732,1.01308846702117
2026-01-08,1.0003983161893824,1.0119878256205503,1.009280298483181,1.0184024066736854
2026-01-09,1.0005975507069804,1.0220675062053537,1.0159550146686624,1.0235509685840563
2026-01-12,1.0330141046091827,1.0229155596047448,1.0175505250940375,1.0253705671196112
2026-01-13,1.0348132897003262,1.0213987395969362,1.0155159581501467,1.0171825003873172
2026-01-14,1.0348038275355576,1.0104873315615033,1.0105244561916376,1.0164380788616842
2026-01-15,1.0406813110350914,1.0141245339389597,1.0132763309387836,1.0224344313038847
2026-01-16,1.0496002397665705,1.0132763809911005,1.0124273330555,1.0206121725365525
2026-01-20,1.081362264874857,0.9917471333525395,0.9918175667758291,1.002947600147909
2026-01-21,1.0907053838243845,1.0051540223852649,1.0032642118680175,1.0151927736957296
2026-01-22,1.1229471493668444,1.0124608799407646,1.0085044916171648,1.0211706311931938
2026-01-23,1.1400976179345612,1.0156575803470618,1.0088703571184132,1.015461647121775
2026-01-26,1.1402110090452373,1.0201266097236157,1.0139935491569505,1.0219358912010807
2026-01-27,1.1402110090452373,1.0293743637608535,1.0180335678909842,1.013662127002252
2026-01-28,1.1404375303974699,1.0327831024041154,1.0179310825497923,1.0138069829564018
2026-01-29,1.1405508345517728,1.026601640280018,1.0159111179753197,1.0139723606985465
2026-01-30,1.1407774428603787,1.014271268380878,1.0128810815285223,1.011531661381884
2026-02-02,1.1145226251995008,1.0212356792062562,1.0179164801803742,1.021873819126281
2026-02-03,1.149195185575299,1.0055454469616711,1.0093095928071056,1.0183161391574844
2026-02-04,1.1749804075761485,0.9879795224819264,1.0044205761897884,1.0233631688883613
2026-02-05,1.1574026918321685,0.9737572319473333,0.9918761554236784,1.0112834364215373
2026-02-06,1.1860657143524145,0.9943404704939336,1.0109050136473923,1.0363530173172222
2026-02-09,1.2001997689207766,1.0019572224304998,1.0157794278952914,1.0367460348928668
2026-02-10,1.1940872533525748,0.9973088067145044,1.0131006545803243,1.038152537436745
2026-02-11,1.221092810474371,0.9999836740512384,1.0128665687441927,1.036973484709811
2026-02-12,1.2006718716867455,0.9796451256391261,0.9972189205140177,1.023197664468513
2026-02-13,1.214804179567729,0.9817327565627826,0.9979214467776781,1.024459437735945
2026-02-17,1.2081633483824266,0.9807215432242434,0.9995315595724713,1.025638490462879
2026-02-18,1.2064560477323913,0.9880447267285049,1.0045669582243233,1.0280171810435936
2026-02-19,1.2118422987646778,0.9842607899091301,1.0019174792332806,1.0225978455416225
2026-02-20,1.219981611168792,0.9929703849280433,1.009163210772571,1.027388099567155
2026-02-23,1.2094914653098152,0.980900929563685,0.9988583276327355,1.010675066749649
2026-02-24,1.2296537964583232,0.9914372389714732,1.0061184823712672,1.0185034954812162
2026-02-25,1.2462890408146121,1.0058063634964527,1.0146084612041024,1.0247786655492004
2026-02-26,1.2413392673012964,0.9936717038855161,1.0089728424596052,1.0248614494285506
2026-02-27,1.2405406485375945,0.9904912298795125,1.004127812120719,1.014092197806221
2026-03-02,1.2311839463602927,0.9917961111988244,1.0046987378894399,1.0130980945266492
2026-03-03,1.2233867275948798,0.9811782715956963,0.9958429831404447,1.0055182074496878
2026-03-04,1.2285849064874936,0.9961345329852853,1.0028689624577563,1.0101158480267858
2026-03-05,1.2189683399817182,0.9931334453187234,0.9972774195767785,0.9937548525477863
2026-03-06,1.2148098166970303,0.9781935098778959,0.9842059697352904,0.9842075340550838
2026-03-09,1.1974672171799066,0.9912578526320316,0.9928276386481538,0.9896956555501493
2026-03-10,1.1771259753956533,0.9912741785807933,0.9912320386376903,0.9893229064070922
2026-03-11,1.193212860813658,0.9911436705391684,0.9899878809292338,0.9833376382639631
2026-03-12,1.1851721492939629,0.9741323305749781,0.9749549655760339,0.9681571523054898
2026-03-13,1.1904741856473466,0.9683585194275803,0.9694366137123237,0.9659411792351428
2026-03-16,1.186786940039856,0.9792210491651965,0.9793024403336436,0.9739973744779137
2026-03-17,1.206003052062719,0.9839998733743486,0.9818785491372418,0.9752399560732394
2026-03-18,1.2292608630693493,0.9702831895090249,0.9681777640493606,0.9588790239330919
2026-03-19,1.2411733529130864,0.9672168975958846,0.9657918443885513,0.9548612505445557
2026-03-20,1.2559222271460473,0.9493410787350735,0.9519464689679046,0.9461940253981195
