Schedule,Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Rebalance,Num Rebalances
Monthly,0.007199649188289081,0.03555413130632257,0.0016886524188619025,20.59002970818536,0.0,,0.0,0
Quarterly,0.007199649188289081,0.03555413130632257,0.0016886524188619025,20.59002970818536,0.0,,0.0,0
QQQ,-0.02971681049097563,-0.1366324335204674,0.16245923707990878,-0.8197910179496911,-0.06237958660106624,-2.1903388747070016,0.0,0
SPY,-0.03182222693943226,-0.1457177625053817,0.12267858135421897,-1.2168168311809,-0.04897266393023991,-2.975491852208658,0.0,0
DIA,-0.04112099644240619,-0.18493968116713544,0.13709565599801618,-1.4164371592925644,-0.07636017486079594,-2.421938942705136,0.0,0
Weekly,-0.07670900120932334,-0.3220479318801367,0.18099042231743478,-2.044029959394096,-0.12451986626219302,-2.5863176820477967,0.3800591627961863,5
