ticker,last_close,ret_6m,realized_vol20,atr15,above_ema10,above_sma200,sma50_gt_sma200,macd,macd_signal,macd_hist,weekly_macd_hist,breakout_89d,breakout_recent,exit_13d,raw_score,selected,entry_label,model_target_alloc_pct,current_alloc_pct,target_alloc_pct,delta_pct_points,action,rationale
SGOV,100.43000030517578,0.019268723860719872,0.002214008945395417,0.020818090910180824,True,True,True,0.09926079706058033,0.09862206939645522,0.0006387276641251077,-0.008059621610142842,True,True,False,12.0,True,DO NOT BUY,1.1102230246251565e-14,100.0,66.80100788719882,-33.19899211280117,DECREASE,SGOV absorbs residual cash; final target 66.8% because selected ETFs are only partially deployable today.
GNR,74.68000030517578,0.2807244207422923,0.18855504950378693,1.2879994710286458,True,True,True,0.5227145572874861,0.32463136521668434,0.19808319207080172,0.20763035895456738,False,True,False,15.533414504556976,True,BUY NOW,23.06572463355863,0.0,23.06572463355863,23.06572463355863,INCREASE,"Selected and executable now: trend=yes, momentum=yes, breakout_fresh=no, above_ema10=yes."
XBI,128.9600067138672,0.2761282451415832,0.3920938391741813,3.8666661580403647,True,True,True,0.22330941230789847,-0.5675614890336284,0.7908709013415268,-1.7379260099455474,False,True,False,13.648324216236597,True,WAIT FOR PULLBACK,20.26653495848509,0.0,10.133267479242544,10.133267479242544,INCREASE,"Selected but partial-only entry: trend=yes, momentum=no, breakout_fresh=no, above_ema10=yes. Model target 20.3%, deployed target 10.1%."
EPOL,36.77000045776367,0.16587826939733663,0.32783380966250963,0.9200004577636719,True,True,True,-0.16608026943477228,-0.40921642144951875,0.24313615201474648,-0.46070565694193566,False,True,False,12.754896368070074,True,WAIT FOR PULLBACK,18.93987489158761,0.0,0.0,0.0,HOLD,"Selected but partial-only entry: trend=yes, momentum=no, breakout_fresh=no, above_ema10=yes. Model target 18.9%, deployed target 0.0%."
SMH,392.32000732421875,0.1793603485218389,0.4095252831950779,12.785335286458333,True,True,True,-3.9248310174496055,-3.9697467510723197,0.04491573362271417,-5.26526681712291,False,True,False,12.739609689678376,True,WAIT FOR PULLBACK,18.91717554790878,0.0,0.0,0.0,HOLD,"Selected but partial-only entry: trend=yes, momentum=no, breakout_fresh=no, above_ema10=yes. Model target 18.9%, deployed target 0.0%."
XME,110.77999877929688,0.16446103115284738,0.3717756306013739,4.255160754360431,True,True,True,-2.123451846886141,-2.7987737576397422,0.6753219107536013,-2.747363072486049,False,True,False,12.667897889133815,True,WAIT FOR PULLBACK,18.81068996845989,0.0,0.0,0.0,HOLD,"Selected but partial-only entry: trend=yes, momentum=no, breakout_fresh=no, above_ema10=yes. Model target 18.8%, deployed target 0.0%."
OIH,399.04998779296875,0.5332588517786576,0.29862310387830626,11.979339599609375,False,True,True,7.771315678507278,8.23029374351186,-0.4589780650045814,5.366964061231592,False,False,False,12.64248594517968,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
SLV,65.79000091552734,0.5332090689693889,0.6065480321093824,3.6726666768391927,False,True,True,-2.8147534424903142,-2.9808873770175754,0.16613393452726122,-2.0871871207614827,False,False,False,12.622631127649457,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
AVUV,111.41999816894531,0.12203398268827326,0.18191570687169256,2.0841995239257813,True,True,True,-0.0016136577957297504,-0.4335726045902756,0.43195894679454583,-0.5553224070250438,False,True,False,12.602623811066396,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
TUR,38.95000076293945,0.12558089646009774,0.29614505418485293,0.6699999491373698,True,True,True,-0.35982435244314104,-0.41949767010823485,0.05967331766509382,-0.19077304419825336,False,True,False,12.442173851625501,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
EFAV,92.04000091552734,0.0947871620996188,0.15841944315570658,1.3413330078125,True,True,True,-0.12089938513381071,-0.3436611532552696,0.22276176812145887,-0.26721580890680574,False,True,False,12.394670227522298,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
SDIV,25.360000610351562,0.10442252646023453,0.21580698677540208,0.4306671142578125,True,True,True,-0.10224430225065007,-0.1719186387565544,0.06967433650590432,-0.1780790784123535,False,True,False,12.385424633066153,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
BBCA,94.91999816894531,0.0988946093691414,0.19523516244111694,1.7076231816141225,True,True,True,-0.716664248929149,-0.8396134489573776,0.12294920002822851,-0.7764934777936077,False,True,False,12.36989370004862,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
THD,68.44999694824219,0.1710150261856982,0.3424999453560041,1.8120000203450521,True,True,True,0.061619334748314714,-0.21399345068306772,0.27561278543138246,0.0009273900358044429,False,False,False,12.276834515428583,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
VTV,196.99000549316406,0.06547424853368655,0.12159581290781905,2.536737247103311,True,True,True,-1.3573452500659187,-1.5559425043307444,0.19859725426482577,-1.1819656318827896,False,True,False,12.190422821821153,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
DIV,19.110000610351562,0.11311058554174669,0.1169411204280152,0.244000244140625,True,True,True,-0.024276676874890768,-0.014249303372640795,-0.010027373502249973,0.05107336755446029,False,True,False,12.13113660895105,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
SPYD,45.630001068115234,0.05613660164807244,0.10891455344182585,0.5949524424238367,True,True,True,-0.22688134116473435,-0.2873810928347086,0.06049975166997423,-0.07570154580510369,False,True,False,12.12696393037047,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
XYLD,39.369998931884766,0.0576292998497272,0.14114146183860576,0.45999750492230523,True,True,True,-0.25461979619109343,-0.27039586755690914,0.015776071365815714,-0.2580437240353217,False,True,False,12.086168002487609,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
RYLD,15.069999694824219,0.05989647489734584,0.1784206774019831,0.234310875904634,True,True,True,-0.09286433269965855,-0.11791427869080873,0.02504994599115018,-0.10448316725679441,False,True,False,12.043887453903022,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
SLVP,36.790000915527344,0.35746045106389857,0.6197330290837353,2.13866704305013,True,True,True,-1.535649115418046,-1.9201264420486852,0.38447732663063916,-1.3257111836627438,False,False,False,12.00339664527562,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
LIT,74.16999816894531,0.2918429838863297,0.32777431252810957,2.1959991455078125,True,True,True,0.46200577721560876,-0.045828672726924355,0.5078344499425331,-0.823519812721317,False,False,False,11.899614124353379,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
JEPI,56.45000076293945,0.032606016708115915,0.13544281242017042,0.713018531948443,True,True,True,-0.4785924926097138,-0.5038894757012384,0.025296983091524616,-0.3417025917753954,False,True,False,11.868398572322537,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
SPLV,73.91000366210938,0.023584686864422055,0.10871209126143204,0.9056145964783402,True,True,True,-0.494984148940091,-0.5087177704709311,0.013733621530840123,-0.0758648849007576,False,True,False,11.831512382984869,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
PICK,57.349998474121094,0.29694386582830634,0.398328766745542,1.91199951171875,True,True,True,-0.8044082149827148,-1.195494844783446,0.39108662980073117,-0.8469827329338901,False,False,False,11.826954833396735,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
KBE,60.2400016784668,0.03250859124054717,0.18244241031528746,1.24127849074049,True,True,True,-0.5293076223055309,-0.9441158214114839,0.414808199105953,-0.857721059796505,False,True,False,11.788235175656927,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
RSP,193.08999633789062,0.023972056539125708,0.15155741575462583,3.0287790133322496,True,True,True,-1.9338874170103963,-2.110567310990146,0.1766798939797498,-1.475996932262956,False,True,False,11.762761584175431,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
IWM,251.2899932861328,0.04161483957647105,0.25201398248070606,5.923622895230538,True,True,True,-2.564655668831506,-3.234038707674128,0.6693830388426223,-3.159027107477451,False,True,False,11.753629795626894,False,DO NOT BUY,0.0,0.0,0.0,0.0,HOLD,Not selected: outranked by stronger candidates.
