Total Return,CAGR,Annual Vol,Sharpe,Max Drawdown,Calmar,Avg Turnover/Trade Date,Num Trade Dates,Schedule,start_date,end_date,top_k,allocation_mode,execution_mode,benchmark_hurdle,hold_band,transaction_cost_bps,max_wait_pullback
0.4106632882849315,0.5119214306641571,0.2015525007743481,2.1413133352771982,-0.08599170096758568,5.953149256311657,0.6534807854912542,42,Weekly,2025-06-01,2026-04-03,6,momentum_proportional,overlay,spy,,0,3
0.39613068169388677,0.4932269321485814,0.1924190193454685,2.169199470889395,-0.08150423030231557,6.051550089107075,0.6777006614664204,42,Weekly,2025-06-01,2026-04-03,6,score_proportional,overlay,spy,,0,3
0.3911189968696569,0.4867890517523539,0.19584031744162544,2.112573764075225,-0.0916997035446121,5.308512818861296,0.6798856086719618,42,Weekly,2025-06-01,2026-04-03,5,equal,overlay,spy,,0,3
0.3911189968696569,0.4867890517523539,0.19584031744162542,2.1125737640752247,-0.09169970354461188,5.308512818861308,0.6798856086719618,42,Weekly,2025-06-01,2026-04-03,5,score_proportional,overlay,spy,,0,3
0.3860724232826971,0.48031107438345355,0.1884018150411946,2.165477736854009,-0.07860084691419744,6.110762074965586,0.6774713208594967,42,Weekly,2025-06-01,2026-04-03,6,equal,overlay,spy,,0,3
0.37796188601495606,0.4699100324197243,0.1968590116584645,2.0449161049746976,-0.09706086613293297,4.841395416522898,0.6799902699515924,42,Weekly,2025-06-01,2026-04-03,5,momentum_proportional,overlay,spy,,0,3
0.0963604875916726,0.4525935617775001,0.2119091792590912,1.8432658127325525,-0.08230791004695781,5.498785736623481,0.5858097909051863,12,Weekly,2026-01-01,2026-04-03,5,equal,overlay,spy,,0,3
0.0963604875916726,0.4525935617775001,0.2119091792590912,1.8432658127325525,-0.08230791004695781,5.498785736623481,0.5858097909051863,12,Weekly,2026-01-01,2026-04-03,5,score_proportional,overlay,spy,,0,3
0.34969846066294874,0.4337614122270268,0.1791140513511743,2.0905141448919666,-0.08710376655279117,4.979823828446455,0.5497567244469813,42,Weekly,2025-06-01,2026-04-03,4,equal,overlay,spy,,0,3
0.34969846066294874,0.4337614122270268,0.1791140513511743,2.0905141448919666,-0.08710376655279117,4.979823828446455,0.5497567244469813,42,Weekly,2025-06-01,2026-04-03,4,score_proportional,overlay,spy,,0,3
